target_species	prestwick_ID	human_use	n_hit	hit
human	Prestw-295	TRUE	0	FALSE
human	Prestw-296	TRUE	0	FALSE
human	Prestw-297	TRUE	1	TRUE
human	Prestw-298	TRUE	0	FALSE
human	Prestw-299	TRUE	3	TRUE
human	Prestw-3	TRUE	0	FALSE
human	Prestw-301	TRUE	0	FALSE
human	Prestw-303	TRUE	0	FALSE
human	Prestw-305	TRUE	0	FALSE
human	Prestw-306	TRUE	0	FALSE
human	Prestw-308	TRUE	7	TRUE
human	Prestw-310	TRUE	0	FALSE
human	Prestw-311	TRUE	0	FALSE
human	Prestw-312	TRUE	1	TRUE
human	Prestw-313	TRUE	6	TRUE
human	Prestw-314	TRUE	0	FALSE
human	Prestw-316	TRUE	0	FALSE
human	Prestw-317	TRUE	0	FALSE
human	Prestw-319	TRUE	4	TRUE
human	Prestw-32	TRUE	3	TRUE
human	Prestw-320	TRUE	5	TRUE
human	Prestw-322	TRUE	0	FALSE
