Strain	Replicate	ABX	ABXConc	DrugX	DrugXConc	normAUC	Exp
community	1	Erythromycin	2.15	Tolfenamic Acid	20	0.0162428260008534	PM
community	1	Erythromycin	2.15	Tolfenamic Acid	40	0.0114405875868213	PM
community	1	Erythromycin	2.15	Tolfenamic Acid	80	0.0101694068301658	PM
community	1	Erythromycin	2.15	Tolfenamic Acid	160	0.0084745383777037	PM
community	1	Erythromycin	2.15	Tolfenamic Acid	320	0	PM
community	1	Erythromycin	2.15	Tolfenamic Acid	640	0.0210630055778272	PM
community	1	Erythromycin	1.65	Tolfenamic Acid	0	0.0151128483274143	PM
community	1	Erythromycin	1.65	Tolfenamic Acid	10	0.0145479183253127	PM
community	1	Erythromycin	1.65	Tolfenamic Acid	20	0.013841746016916	PM
community	1	Erythromycin	1.65	Tolfenamic Acid	40	0.0151128483274143	PM
community	1	Erythromycin	1.65	Tolfenamic Acid	80	0.0115818298931164	PM
community	1	Erythromycin	1.65	Tolfenamic Acid	160	0.00861574146092009	PM
community	1	Erythromycin	1.65	Tolfenamic Acid	320	0.00183614998183581	PM
community	1	Erythromycin	1.65	Tolfenamic Acid	640	0.0252684977989289	PM
community	1	Erythromycin	1.15	Tolfenamic Acid	0	0.0245760828491833	PM
community	1	Erythromycin	1.15	Tolfenamic Acid	10	0.0249998882142258	PM
community	1	Erythromycin	1.15	Tolfenamic Acid	20	0.0278246951170484	PM
community	1	Erythromycin	1.15	Tolfenamic Acid	40	0.0237289987485084	PM
community	1	Erythromycin	1.15	Tolfenamic Acid	80	0.0207625405792167	PM
community	1	Erythromycin	1.15	Tolfenamic Acid	160	0.0082128155009137	PM
community	1	Erythromycin	1.15	Tolfenamic Acid	320	0.00338965845876681	PM
community	1	Erythromycin	0.65	Tolfenamic Acid	0	0.0526834194711359	PM
community	1	Erythromycin	0.65	Tolfenamic Acid	10	0.10282447742896	PM
community	1	Erythromycin	0.65	Tolfenamic Acid	20	0.260733650428388	PM
community	1	Erythromycin	0.65	Tolfenamic Acid	40	0.229519179183338	PM
community	1	Erythromycin	0.65	Tolfenamic Acid	80	0.0956013420858774	PM
community	1	Erythromycin	0.65	Tolfenamic Acid	160	0.0129345175991723	PM
community	1	Erythromycin	0.65	Tolfenamic Acid	320	0.0330517586961686	PM
community	1	Erythromycin	0.15	Tolfenamic Acid	0	0.6518345379133	PM
community	1	Erythromycin	0.15	Tolfenamic Acid	10	0.777551343677612	PM
community	1	Erythromycin	0.15	Tolfenamic Acid	20	0.72076231308536	PM
community	1	Erythromycin	0.15	Tolfenamic Acid	40	0.523163385224681	PM
community	1	Erythromycin	0.15	Tolfenamic Acid	80	0.293784860001457	PM
community	1	Erythromycin	0.15	Tolfenamic Acid	160	0.12430492949114	PM
community	1	Erythromycin	0.15	Tolfenamic Acid	320	0.0134684196879559	PM
