species_name	Pathobiont/Pathogen/Disease-associated	NT_code
Prevotella oris	TRUE	
Prevotella oulorum	TRUE	
Prevotella salivae	FALSE	
Prevotella sp.	TRUE	
Prevotella veroralis	FALSE	
Proteus hauseri	FALSE	
Proteus inconstans	TRUE	
Proteus mirabilis	TRUE	
Proteus penneri	TRUE	
Proteus sp.	TRUE	
Proteus vulgaris	TRUE	
Providencia rettgeri	TRUE	
Providencia sp.	TRUE	
Providencia stuartii	TRUE	
Pseudomonas aeruginosa	TRUE	
Pseudomonas fluorescens	TRUE	
Pseudomonas luteola	TRUE	
Pseudomonas putida	FALSE	
Pseudomonas sp.	TRUE	
Pseudomonas stutzeri	TRUE	
Pseudopropionibacterium propionicum	FALSE	
Pseudoramibacter alactolyticus	TRUE	
Raoultella planticola	TRUE	
Rhodococcus hoagii	TRUE	
Rhodococcus sp.	NA	
Rothia mucilaginosa	FALSE	
Ruminococcus albus	FALSE	
Ruminococcus flavefaciens	FALSE	
Ruminococcus lactaris	FALSE	
Ruminococcus sp.	FALSE	
Salmonella enterica	TRUE	
Salmonella sp.	TRUE	
Serratia liquefaciens	TRUE	
Serratia marcescens	TRUE	
Serratia sp.	TRUE	
Shewanella algae	TRUE	
Shewanella putrefaciens	TRUE	
Shigella boydii	TRUE	
Shigella dysenteriae	TRUE	
Shigella flexneri	TRUE	
Shigella sonnei	TRUE	
Shigella sp.	TRUE	
Slackia exigua	TRUE	
Solobacterium moorei	TRUE	
Sphingomonas paucimobilis	TRUE	
Staphylococcus aureus	TRUE	
Staphylococcus auricularis	TRUE	
Staphylococcus capitis	TRUE	
Staphylococcus cohnii	TRUE	
Staphylococcus epidermidis	TRUE	
Staphylococcus faecalis	TRUE	
Staphylococcus fleurettii	FALSE	
Staphylococcus haemolyticus	TRUE	
Staphylococcus hominis	TRUE	
Staphylococcus intermedius	FALSE	
Staphylococcus lentus	TRUE	
Staphylococcus lugdunensis	TRUE	
Staphylococcus saccharolyticus	TRUE	
Staphylococcus saprophyticus	TRUE	
Staphylococcus sciuri	TRUE	
Staphylococcus simulans	TRUE	
Staphylococcus sp.	TRUE	
Staphylococcus vitulinus	FALSE	
Staphylococcus warneri	TRUE	
Staphylococcus xylosus	FALSE	
Stenotrophomonas maltophilia	TRUE	
Streptococcus agalactiae	FALSE	
Streptococcus anginosus	TRUE	
Streptococcus constellatus	TRUE	
Streptococcus dysgalactiae	TRUE	
Streptococcus equi	TRUE	
Streptococcus equinus	TRUE	
Streptococcus gordonii	TRUE	
Streptococcus intermedius	TRUE	
Streptococcus mitis	TRUE	
Streptococcus mutans	TRUE	
Streptococcus oralis	TRUE	
Streptococcus pasteurianus	TRUE	
Streptococcus pneumoniae	TRUE	
Streptococcus pyogenes	TRUE	
Streptococcus salivarius	FALSE	
Streptococcus sanguinis	TRUE	
Streptococcus sp.	TRUE	
Streptococcus sp. 'group A'	TRUE	
Streptococcus sp. 'group B'	TRUE	
Streptococcus sp. 'group C'	TRUE	
Streptococcus sp. 'group G'	TRUE	
Streptococcus suis	TRUE	
Streptococcus uberis	TRUE	
Streptococcus vestibularis	TRUE	
Streptococcus viridans	FALSE	
Streptomyces albus	TRUE	
Streptomyces coelicolor	FALSE	
Streptomyces griseus	FALSE	
Sutterella wadsworthensis	FALSE	
Terrisporobacter glycolicus	TRUE	
Tissierella praeacuta	TRUE	
Trueperella pyogenes	TRUE	
Tyzzerella nexilis	FALSE	
Ureaplasma parvum	FALSE	
Ureaplasma urealyticum	TRUE	
Veillonella dispar	FALSE	
Vibrio alginolyticus	TRUE	
Vibrio anguillarum	TRUE	
Vibrio cholerae	TRUE	
Vibrio fluvialis	TRUE	
Vibrio mimicus	TRUE	
Vibrio parahaemolyticus	TRUE	
Vibrio sp.	NA	
Vibrio splendidus	TRUE	
Vibrio vulnificus	TRUE	
Waddlia chondrophila	TRUE	
Xanthomonas oryzae	TRUE	
Yersinia enterocolitica	TRUE	
Yersinia pestis	TRUE	
Yersinia pseudotuberculosis	TRUE	
Cronobacter sakazakii	TRUE	
Elizabethkingia meningoseptica	TRUE	
Lactobacillus helveticus	FALSE	
Lactobacillus sakei	FALSE	
Pantoea agglomerans	TRUE	
Dickeya chrysanthemi	FALSE	
Geobacillus stearothermophilus	FALSE	
Kocuria rosea	TRUE	
Pseudomonas savastanoi	FALSE	
Pseudomonas syringae	FALSE	
Sinorhizobium meliloti	FALSE	
Vibrio harveyi	FALSE	
Xanthomonas campestris	FALSE	
